EP ID,SMILES,Es-Ea (eV),LUMO_sol (eV),HOMO_sol (eV),Dielectric constant of solvents
ep-15447,CCCCOCCC,1.0129232153566878,8.527502264,-7.674153388,2.2608
ep-15463,CCCOCCOC,0.9754109365355325,8.305729517,-7.810210288,10.0218
ep-15497,CCOCCC(C)C,0.9524884242309112,8.485596739,-7.661636153,3.6841
ep-15502,CCCCCOCC,0.9839529763616166,8.514440802,-7.737011675,2.0884
ep-15512,CCOCCCOC,0.9221161686420649,8.301375697,-7.731841513,12.1983
ep-15562,CCOCCOCC,0.9082355845988258,8.24722505,-7.780005656,34.9023
ep-15673,CCOC(OC)OC,0.682133364631885,7.803407443,-8.086677908,4.9528
ep-15834,COCOCC(C)C,0.6523382302994456,7.969124747,-8.043956042,1.6604
ep-15875,CCCCOCOC,0.6423656282622581,7.893749224,-7.967764178,2.1292
ep-15881,CCCOCOCC,0.5966781741891891,7.977288161,-7.990621737,2.22
ep-15923,COCCOCOC,0.03459474514751948,8.156883269,-7.80966606,5.7633
ep-15996,CCOCOCOC,0.7189608165734598,8.102460509,-8.104093192,5.3805
ep-16855,CCC(C)(C)COC,1.0309490200985283,8.467637228,-7.772386469,2.4054
ep-16873,COCC(C)C(C)C,1.0067224485739235,8.389268454,-7.76667208,2.3132
ep-16878,CCC(CC)COC,0.9205933973273958,8.395527071,-7.751705821,2.2456
ep-16884,CCCC(C)COC,1.0127799006252927,8.416751948,-7.726399237,3.0744
ep-16899,COCC(C)COC,0.9211674963350166,8.372941626,-7.758236552,40.0386
ep-17068,COCCC(C)(C)C,0.9156867006236609,8.362057074,-7.798781508,2.147
ep-17071,CCC(C)CCOC,1.03449576726742,8.386275202,-7.771842242,2.3895
ep-17107,COCCCC(C)C,1.0085529450910455,8.407772192,-7.760141348,3.1984
ep-17112,CCCCCCOC,1.0437508473352004,8.423554793,-7.728848261,2.8562
ep-17122,COCCCCOC,0.9613122887878788,8.380560812,-7.7552433,4.0392
ep-26474,CC1CCC(C)(C)O1,0.8658884630870731,8.195251315,-7.499728442,4.1758
ep-26483,CC1OCC(C)(C)O1,1.065761748011732,7.631703635,-7.950348895,3.3157
ep-26502,CC1CCOC1(C)C,0.8735243471986713,7.901096297,-7.477142996,4.0645
ep-26505,CCC1(C)CCCO1,0.8637239765904485,7.711432978,-7.491292914,5.1825
